Currency,Counter Currency,Quotation Source,Quotation Date,Pair Code,Rate
RON,EUR,ECB,30/12/2022,EUR/RON,4.9495
RON,EUR,ECB,02/01/2023,EUR/RON,4.94
RON,EUR,ECB,03/01/2023,EUR/RON,4.931
RON,EUR,ECB,04/01/2023,EUR/RON,4.9264
RON,EUR,ECB,05/01/2023,EUR/RON,4.9235
RON,EUR,ECB,06/01/2023,EUR/RON,4.9296
RON,EUR,ECB,09/01/2023,EUR/RON,4.9253
RON,EUR,ECB,10/01/2023,EUR/RON,4.9338
RON,EUR,ECB,11/01/2023,EUR/RON,4.9335
RON,EUR,ECB,12/01/2023,EUR/RON,4.944
RON,EUR,ECB,13/01/2023,EUR/RON,4.9423
RON,EUR,ECB,16/01/2023,EUR/RON,4.9313
RON,EUR,ECB,17/01/2023,EUR/RON,4.9356
RON,EUR,ECB,18/01/2023,EUR/RON,4.9388
RON,EUR,ECB,19/01/2023,EUR/RON,4.9265
RON,EUR,ECB,20/01/2023,EUR/RON,4.9258
RON,EUR,ECB,23/01/2023,EUR/RON,4.9202
RON,EUR,ECB,24/01/2023,EUR/RON,4.9171
RON,EUR,ECB,25/01/2023,EUR/RON,4.9035
RON,EUR,ECB,26/01/2023,EUR/RON,4.8818
RON,EUR,ECB,27/01/2023,EUR/RON,4.8965
RON,EUR,ECB,30/01/2023,EUR/RON,4.9055
RON,EUR,ECB,31/01/2023,EUR/RON,4.921
RON,EUR,ECB,01/02/2023,EUR/RON,4.9117
RON,EUR,ECB,02/02/2023,EUR/RON,4.9025
RON,EUR,ECB,03/02/2023,EUR/RON,4.902
RON,EUR,ECB,06/02/2023,EUR/RON,4.9055
RON,EUR,ECB,07/02/2023,EUR/RON,4.902
RON,EUR,ECB,08/02/2023,EUR/RON,4.8975
RON,EUR,ECB,09/02/2023,EUR/RON,4.8935
RON,EUR,ECB,10/02/2023,EUR/RON,4.902
RON,EUR,ECB,13/02/2023,EUR/RON,4.9031
RON,EUR,ECB,14/02/2023,EUR/RON,4.901
RON,EUR,ECB,15/02/2023,EUR/RON,4.9008
RON,EUR,ECB,16/02/2023,EUR/RON,4.9009
RON,EUR,ECB,17/02/2023,EUR/RON,4.9165
RON,EUR,ECB,20/02/2023,EUR/RON,4.918
RON,EUR,ECB,21/02/2023,EUR/RON,4.9188
RON,EUR,ECB,22/02/2023,EUR/RON,4.9238
RON,EUR,ECB,23/02/2023,EUR/RON,4.9146
RON,EUR,ECB,24/02/2023,EUR/RON,4.9195
RON,EUR,ECB,27/02/2023,EUR/RON,4.9198
RON,EUR,ECB,28/02/2023,EUR/RON,4.92
RON,EUR,ECB,01/03/2023,EUR/RON,4.9174
RON,EUR,ECB,02/03/2023,EUR/RON,4.9223
RON,EUR,ECB,03/03/2023,EUR/RON,4.9235
RON,EUR,ECB,06/03/2023,EUR/RON,4.9205
RON,EUR,ECB,07/03/2023,EUR/RON,4.9178
RON,EUR,ECB,08/03/2023,EUR/RON,4.9113
RON,EUR,ECB,09/03/2023,EUR/RON,4.915
RON,EUR,ECB,10/03/2023,EUR/RON,4.9143
RON,EUR,ECB,13/03/2023,EUR/RON,4.9168
RON,EUR,ECB,14/03/2023,EUR/RON,4.9218
RON,EUR,ECB,15/03/2023,EUR/RON,4.9218
RON,EUR,ECB,16/03/2023,EUR/RON,4.9215
RON,EUR,ECB,17/03/2023,EUR/RON,4.9208
RON,EUR,ECB,20/03/2023,EUR/RON,4.9233
RON,EUR,ECB,21/03/2023,EUR/RON,4.9225
RON,EUR,ECB,22/03/2023,EUR/RON,4.9215
RON,EUR,ECB,23/03/2023,EUR/RON,4.9228
RON,EUR,ECB,24/03/2023,EUR/RON,4.9305
RON,EUR,ECB,27/03/2023,EUR/RON,4.9405
RON,EUR,ECB,28/03/2023,EUR/RON,4.9523
RON,EUR,ECB,29/03/2023,EUR/RON,4.95
RON,EUR,ECB,30/03/2023,EUR/RON,4.9483
RON,EUR,ECB,31/03/2023,EUR/RON,4.949
RON,EUR,ECB,03/04/2023,EUR/RON,4.9367
RON,EUR,ECB,04/04/2023,EUR/RON,4.933
RON,EUR,ECB,05/04/2023,EUR/RON,4.9314
RON,EUR,ECB,06/04/2023,EUR/RON,4.9369
RON,EUR,ECB,11/04/2023,EUR/RON,4.9375
RON,EUR,ECB,12/04/2023,EUR/RON,4.9385
RON,EUR,ECB,13/04/2023,EUR/RON,4.9435
RON,EUR,ECB,14/04/2023,EUR/RON,4.9423
RON,EUR,ECB,17/04/2023,EUR/RON,4.9425
RON,EUR,ECB,18/04/2023,EUR/RON,4.9357
RON,EUR,ECB,19/04/2023,EUR/RON,4.9321
RON,EUR,ECB,20/04/2023,EUR/RON,4.9308
RON,EUR,ECB,21/04/2023,EUR/RON,4.941
RON,EUR,ECB,24/04/2023,EUR/RON,4.9298
RON,EUR,ECB,25/04/2023,EUR/RON,4.937
RON,EUR,ECB,26/04/2023,EUR/RON,4.9391
RON,EUR,ECB,27/04/2023,EUR/RON,4.939
RON,EUR,ECB,28/04/2023,EUR/RON,4.9301
