Investment Code,Company Name,Industry Sector
AAG,Aages ( AAG ),Industrials
ALR,ALRO S.A. ( ALR ),Materials
ALT,ALTUR S.A. ( ALT ),Consumer Discretionary
ALU,Alumil Rom Industry ( ALU ),Materials
AQ,Aquila Part Prod Com ( AQ ),Industrials
ARM,Armatura ( ARM ),Industrials
ARS,Aerostar ( ARS ),Industrials
ARTE,Artego Jiu ( ARTE ),Materials
ATB,Antibiotice ( ATB ),Consumer Staples
BCM,Casa de Bucovina-Club de Munte ( BCM ),Consumer Discretionary
BIO,Biofarm ( BIO ),Consumer Staples
BNET,Bittnet Systems Bucuresti ( BNET ),Information Technology
BRD,BRD - Groupe Societe Generale ( BRD ),Financials
BRK,Ssif Brk Financial Group ( BRK ),Financials
BRM,Bermas ( BRM ),Consumer Staples
BTF,Fondul Inchis de Investitii BET Fi Index Invest ( BTF ),Financials
BVB,SC Bursa de Valori Bucuresti ( BVB ),Financials
CAOR,SIF Hoteluri ( CAOR ),Consumer Discretionary
CBC,Carbochim ( CBC ),Materials
CEON,Cemacon Cluj-Napoca ( CEON ),Industrials
CMCM,Comcm Constanta ( CMCM ),Industrials
CMF,Comelf ( CMF ),Industrials
CMP,Compa ( CMP ),Consumer Discretionary
CNTE,Conted Dorohoi ( CNTE ),Consumer Discretionary
COMI,Condmag ( COMI ),Industrials
COTE,Conpet Ploiesti ( COTE ),Energy
CRC,Chimcomplex Borzesti Onesti ( CRC ),Materials
DAFR,DAFORA SA ( DAFR ),Energy
DIGI,Digi Communications ( DIGI ),Communication Services
EBS,Erste Group Bank Ag ( EBS ),Financials
ECT,Grupul Industrial Electrocontact ( ECT ),Industrials
EFO,"Turism, Hoteluri, Restaurante Marea Neagra ( EFO )",Consumer Discretionary
EL,Societatea Energetica Electrica ( EL ),Utilities
ELGS,Electroarges Curtea de Arges ( ELGS ),Industrials
ELJ,Electroaparataj ( ELJ ),Consumer Discretionary
ELMA,Electromagnetica Bucuresti ( ELMA ),Industrials
ENP,Compania Energopetrol ( ENP ),Industrials
EVER,Evergent Investments ( EVER ),Financials
FP,Fondul Proprietatea ( FP ),Financials
IARV,Iar Brasov ( IARV ),Industrials
IMP,Impact Developer & Contractor ( IMP ),Financials
LION,Lion Capital ( LION ),Financials
M,Med Life ( M ),Consumer Staples
MCAB,Romcab Mures ( MCAB ),Industrials
MECE,Mecanica Fina Bucuresti ( MECE ),Industrials
MECF,Mecanica Ceahlau ( MECF ),Industrials
NAPO,SC de Constructii Napoca Cluj Napoca ( NAPO ),Industrials
OIL,Oil Terminal ( OIL ),Energy
ONE,One United Properties ( ONE ),Financials
PBK,Patria Bank ( PBK ),Financials
PPL,Promateris ( PPL ),Industrials
PREB,Prebet Aiud ( PREB ),Industrials
PREH,Prefab Bucuresti ( PREH ),Industrials
PTENGETF,Fdi ETF Energie Patria-Tradeville ( PTENGETF ),Fund Units
PTR,Rompetrol Well Services ( PTR ),Energy
RMAH,Farmaceutica Remedia Deva ( RMAH ),Consumer Staples
ROCE,Romcarbon Buzau ( ROCE ),Industrials
RPH,Ropharma Brasov ( RPH ),Consumer Staples
RRC,Rompetrol Rafinare ( RRC ),Energy
SAFE,Safetech Innovations ( SAFE ),Information Technology
SCD,Zentiva ( SCD ),Consumer Staples
SFG,Sphera Franchise Group ( SFG ),Consumer Discretionary
SIF4,SIF Muntenia ( SIF4 ),Financials
SIF5,SIF Oltenia ( SIF5 ),Financials
SNG,Romgaz ( SNG ),Energy
SNN,Nuclearelectrica ( SNN ),Energy
SNO,Santierul Naval Orsova ( SNO ),Industrials
SNP,OMV Petrom ( SNP ),Energy
SOCP,SOCEP S.A. ( SOCP ),Consumer Staples
STK,Stk Emergent ( STK ),Financials
STZ,Sinteza ( STZ ),Materials
TBK,Transilvania Broker de Asigurare ( TBK ),Financials
TBM,Turbomecanica ( TBM ),Industrials
TEL,Transelectrica ( TEL ),Utilities
TGN,Transgaz ( TGN ),Utilities
TLV,Banca Transilvania ( TLV ),Financials
TRANSI,Transilvania Investments Alliance ( TRANSI ),Financials
TRP,Teraplast ( TRP ),Industrials
TTS,Transport Trade Services ( TTS ),Industrials
TUFE,Turism Felix Baile Felix ( TUFE ),Consumer Discretionary
TVBETETF,Fdi ETF BET Patria-Tradeville ( TVBETETF ),Fund Units
UAM,UAMT S.A. ( UAM ),Industrials
UCM,Ucm Resita ( UCM ),Energy
UZT,UZTEL S.A. ( UZT ),Energy
VESY,VES SA ( VESY ),Industrials
VNC,Vrancart ( VNC ),Materials
WINE,Purcari Wineries Public Company Limited ( WINE ),Consumer Staples
