Price Date,MIC,Ticker,ISIN,Currency,Close Price,Traded Volume,Issued Shares,Traded Value,Market Capitalization,,,,,,
30/12/2022,XBSE,2P,ROZMYY1W6LM9,RON,1.3500,"15,102","13,033,043"," 20,387.70 "," 17,594,608.05 ",,,,,,
03/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.3650,129,"13,033,043", 176.09 ," 17,790,103.70 ",,,,,,
04/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.4400,522,"13,033,043", 751.68 ," 18,767,581.92 ",,,,,,
05/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.4400,345,"13,033,043", 496.80 ," 18,767,581.92 ",,,,,,
06/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.5400,"21,172","13,033,043"," 32,604.88 "," 20,070,886.22 ",,,,,,
09/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.5200,"1,762","13,033,043"," 2,678.24 "," 19,810,225.36 ",,,,,,
10/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.6100,"31,821","13,033,043"," 51,231.81 "," 20,983,199.23 ",,,,,,
11/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7050,"10,723","13,033,043"," 18,282.72 "," 22,221,338.32 ",,,,,,
12/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7000,"11,432","13,033,043"," 19,434.40 "," 22,156,173.10 ",,,,,,
13/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8150,"13,219","13,033,043"," 23,992.49 "," 23,654,973.05 ",,,,,,
16/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8650,"3,014","13,033,043"," 5,621.11 "," 24,306,625.20 ",,,,,,
17/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8450,876,"13,033,043"," 1,616.22 "," 24,045,964.34 ",,,,,,
18/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8450,489,"13,033,043", 902.21 ," 24,045,964.34 ",,,,,,
19/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8000,8,"13,033,043", 14.40 ," 23,459,477.40 ",,,,,,
20/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8000,"2,293","13,033,043"," 4,127.40 "," 23,459,477.40 ",,,,,,
23/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7950,490,"13,033,043", 879.55 ," 23,394,312.19 ",,,,,,
25/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7950,553,"13,033,043", 992.64 ," 23,394,312.19 ",,,,,,
26/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7800,85,"13,033,043", 151.30 ," 23,198,816.54 ",,,,,,
27/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7700,3,"13,033,043", 5.31 ," 23,068,486.11 ",,,,,,
30/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7150,500,"13,033,043", 857.50 ," 22,351,668.75 ",,,,,,
31/01/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7150,612,"13,033,043"," 1,049.58 "," 22,351,668.75 ",,,,,,
01/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7700,"1,057","13,033,043"," 1,870.89 "," 23,068,486.11 ",,,,,,
02/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8100,"4,249","13,033,043"," 7,690.69 "," 23,589,807.83 ",,,,,,
03/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8100,58,"13,033,043", 104.98 ," 23,589,807.83 ",,,,,,
06/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8650,"52,435","13,033,043"," 97,791.28 "," 24,306,625.20 ",,,,,,
07/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.9000,"6,354","13,033,043"," 12,072.60 "," 24,762,781.70 ",,,,,,
08/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8500,413,"13,033,043", 764.05 ," 24,111,129.55 ",,,,,,
09/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8250,611,"13,033,043"," 1,115.08 "," 23,785,303.48 ",,,,,,
10/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7550,"5,483","13,033,043"," 9,622.67 "," 22,872,990.47 ",,,,,,
13/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7500,"3,760","13,033,043"," 6,580.00 "," 22,807,825.25 ",,,,,,
14/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8000,694,"13,033,043"," 1,249.20 "," 23,459,477.40 ",,,,,,
15/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7950,"9,725","13,033,043"," 17,456.38 "," 23,394,312.19 ",,,,,,
16/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7950,"1,000","13,033,043"," 1,795.00 "," 23,394,312.19 ",,,,,,
17/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7900,212,"13,033,043", 379.48 ," 23,329,146.97 ",,,,,,
20/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.7950,"6,565","13,033,043"," 11,784.18 "," 23,394,312.19 ",,,,,,
21/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8600,"23,952","13,033,043"," 44,550.72 "," 24,241,459.98 ",,,,,,
22/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8900,"2,643","13,033,043"," 4,995.27 "," 24,632,451.27 ",,,,,,
23/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8700,427,"13,033,043", 798.49 ," 24,371,790.41 ",,,,,,
24/02/2023,XBSE,2P,ROZMYY1W6LM9,RON,1.8800,"10,764","13,033,043"," 20,236.32 "," 24,502,120.84 ",,,,,,
